XEP, Description, Status, ejabberd, iChat Server, jabberd14, jabberd2, Metronome, Isode M-Link, MongooseIM, Openfire, Prosody, Tigase
0238, XMPP Protocol Flows for Inter-Domain Federation, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[17], {{unk}}, {{No}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}
0241, Encryption of Archived Messages, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0243, XMPP Server Compliance 2009, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{unk}}, {{Yes}}[17], {{Yes}}, {{Yes}}[19], {{Yes}}, {{unk}}, {{Yes}}[20], {{Yes}}[6]
0248, PubSub Collection Nodes, {{okay|Deferred}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{Partial}}[6]
0252, BOSH Script Syntax, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0253, PubSub Chaining, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{Partial}}[6]
0254, PubSub Queueing, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{unk}}
0255, Location Query, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}, {{No}}, {{No}}, {{unk}}, {{No}}[20], {{No}}
0256, Last Activity in Presence, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{unk}}, {{unk}}, {{No}}[20], {{No}}
0257, Client Certificate Management for SASL EXTERNAL, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, Contrib.[20], {{unk}}
0258, Security Labels in XMPP, {{nightly|Draft}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[19], {{No}}, {{unk}}, Contrib.[20], {{unk}}
0259, Message Mine-ing, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{No}}[17], {{No}}[18], {{No}}, {{No}}, {{unk}}, {{No}}[20], {{unk}}
0268, Incident Handling, {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{Yes}}[18], {{No}}, {{No}}, {{unk}}, Contrib.[46], {{No}}
0270, XMPP Compliance Suites 2010, {{incorrect|Obsolete}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}, {{Yes}}[19], {{Yes}}, {{unk}}, {{unk}}, {{unk}}
0273, Stanza Interception and Filtering Technology (SIFT), {{okay|Deferred}}, {{unk}}, {{unk}}, {{unk}}, {{unk}}, {{Partial}}[18], {{No}}, {{No}}, {{unk}}, Contrib.[20], {{No}}
0278, Jingle Relay Nodes, {{release-candidate|Experimental}}, {{Yes}}[8], {{unk}}, {{unk}}, {{No}}[17], {{Yes}}[18], {{No}}, {{No}}, {{unk}}, {{unk}}, {{No}}
